id;difficulty;puzzle;solution
1;0.0;625..1..8.7..8...68........2....4....4..1.3........1.......7.32.....6.9..84.3....;625371948473985216819462753231794685547618329968523174196857432352146897784239561
2;0.0;...8.9.....4...7..8...5...2.6.....24.......5.91..8...36...3......1..4..6..81.5...;127849365534216798896357412763591824482673159915482673659738241371924586248165937
3;0.0;.....64..7.4...5.....8..69.6...91..5..3..4...5.7..31...3.6...7....4.......1....8.;398156427764329518125847693642791835913584762587263149839615274276438951451972386
4;0.0;..7.5.39..1.64.........1.....1.36...7....85..8.4...9.3...9...7.6.3.8.....48...2..;467852391312649785589371624291536847736498512854127963125963478673284159948715236
5;0.0;......2.6...7....8.5......36.1.5.32.....37.....2......9...7......36..4915..81....;148593276369742518257186943671458329895237164432961785916374852783625491524819637
6;1.0;3......9.4...9.216..7.4......9.51..2.8....3.......9.5..4.....2..1.8....3....164..;
7;1.0;....4.3....1....6...5..97...438....28....4.....7..1.......6..481.........9..7...5;
8;1.0;....9..35.73...2..2.....4.93..7.4...1...2.7...5....64...9......7....639.....82...;
9;1.0;....3..5..8...5..1.592.63..42.5......6.4.2........9..5.46.....3.....78..........4;
10;1.0;.7.58...6...2.9.1.3.2.6.5.........3...3...84.....1.........4.684..3.8.7..51.7....;
11;2.0;.....2.59..8..46..79...6.1..274..86...3.7154....8.....6..............38.....1....;
12;2.0;24...8...7.....8.9.5.4..3.....9...1...5.....43....472..6.1..2.8...3.6.....7.8.6..;
13;2.0;...92.41.5..13..67..........2....798...81......6......6.4.5.....7.....8.15.6.....;
14;2.0;...4...93.3......56.1.9......237.....7..86.5.......7.2.....45....963.4..4.......7;
15;2.0;.9.4....28.4.5....6......3....3.6..9..2..1..65...8.1..4....3..........9.....1.5..;
16;3.0;.3.79.......6.8....27..5...3...4..9....8.94......6..58....82..118.9.....7.5...6..;
17;3.0;..3...9...45....1......472...12..8.67...63.............5.729...........1.893.5...;
18;3.0;....1.7.5...347..9...9..14.1....39...2.........35..8....64.5.8...163.2..2..7.....;
19;3.0;4.3....7.....8...4...2......36....1.......69.5...98........5..8.1..73.....54..3..;
20;3.0;....4...6.78...4.9....271.8.1...6..7..91......2..3..6.5....8.2.....7.....9.......;
21;4.0;32.........8.....9..569.3.2...4.69..1...7....2.35..4........5....1....74...7..8.3;
22;4.0;87......9.....58....364.........47.5......2...2...1.....6.2.9...84.....3.9.5.....;
23;4.0;1.......8.4.6..3..6...2.4.9.95.....1....3.2....6.51.8..3...7...9..4.......2.63...;
24;4.0;........761......3......62..47.6...5..6...27...5..2..1..17.4.36.7...39..8...9....;
25;4.0;8..1.5..........2...49..3......7..3...1.48....8....9.27.6.......4.7..29.298....63;
26;5.0;5...13....8....4..2.......1.5...67.....4..83.4...2...5....5..7..6....3..8....2..9;
27;5.0;897.6.2....698........5.........5.6...4.3.....6.41...7...2..5.17.1....2.9.....6..;
28;5.0;.8.13..7...9.8.6.....5.9..2.4.9..7.6....4..2...16...9.45.....8..16........2..3...;
29;5.0;1...6...87.....1....5.31....2...3.89..42.5..1.......4..9.8............95....7.6.2;
30;5.0;...71.9.....3...624....5.3..415.6...6...23..1..........7.....9....4..356.........;
31;6.0;.3.4.9.1.41..5.9.......1.5.7..6..2....4.8...9.....2..1..6....3.5...4.8....2......;
32;6.0;2....5..6...1..8...7....4.......4..3..1..39.25....6...4..9.8....2.3...9....7.....;
33;6.0;5.....3....8.4.1.76.....5...8.95.........4.....1.7..9.....85....2....8....74.6..5;
34;6.0;2...8.917..6....2..9......68...5....9..8...7..1...7...7......93.5..4.7...3...2..5;
35;6.0;..2.19.6..1.2..9..9...75....8.4....9......3..6.9...4.........1......8..21..35....;
36;7.0;7.3.8126..2...75......6.....87.2..1.4..7...2.1....6.....9.4..7....2..8.........4.;
37;7.0;..7.....1.58......6.197...2...48.29.......3.6...3.7..............5.46..8.6..1..5.;
38;7.0;..7.....1.58......6.197...2...48.29.......3.6...3.7..............5.46..8.6..1..5.;
39;7.0;..7.....1.58......6.197...2...48.29.......3.6...3.7..............5.46..8.6..1..5.;
40;7.0;..7.....1.58......6.197...2...48.29.......3.6...3.7..............5.46..8.6..1..5.;
41;8.0;32.........8.....9..569.3.2...4.69..1...7....2.35..4........5....1....74...7..8..;
42;8.0;87......9.....58....364.........47.5......2...2...1.....6.2.9...84.......9.5.....;
43;8.0;........8.4.6..3..6...2.4.9.95.....1....3.2....6.51.8..3...7...9..4.......2.63...;
44;9.0;3.......761......3......62..47.6...5..6...27...5..2..1..17.4.36.7...39..8...9....;
45;9.0;85.1.5..........2...49..3......7..3...1.48....8....9.27.6.......4.7..29.298....63;
46;9.0;58..13....8....4..2.......1.5...67.....4..83.4...2...5....5..7..6....3..8....2..9;
